condition,burden_level,metric,unit_of_analysis,n_pairs,expected_pairs,healthy_mean,healthy_sample_sd,proxy_mean,proxy_sample_sd,mean_delta_proxy_minus_healthy,delta_sample_sd,delta_se,mean_relative_change,paired_standardized_delta,paired_qc_status,comparison_status
parkin_class_level_exploratory,0.0,mean_planar_speed_mm_s,matched_rollout_seed,5,5,1.6999509264454828,0.09949412423034588,1.6999509264454828,0.09949412423034588,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,distance_traveled_mm,matched_rollout_seed,5,5,1.5260506214081766,0.131488608252267,1.5260506214081766,0.131488608252267,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,displacement_mm,matched_rollout_seed,5,5,0.8499754632227414,0.04974706211517294,0.8499754632227414,0.04974706211517294,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,walking_speed_mm_s,matched_rollout_seed,5,5,3.051490944627628,0.2629246315782365,3.051490944627628,0.2629246315782365,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,com_velocity_mean_mm_s,matched_rollout_seed,5,5,3.78573440365305,0.19772842970616583,3.78573440365305,0.19772842970616583,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,heading_variance_rad2,matched_rollout_seed,5,5,0.00038924955476705026,0.00022470115829576156,0.00038924955476705026,0.00022470115829576156,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,body_orientation_variance_rad2,matched_rollout_seed,5,5,0.0003444478965495001,7.356676286862539e-05,0.0003444478965495001,7.356676286862539e-05,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,stride_frequency_hz,matched_rollout_seed,5,5,350.0000000000271,36.50875085358435,350.0000000000271,36.50875085358435,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,step_frequency_hz,matched_rollout_seed,5,5,2100.000000000163,219.05250512150602,2100.000000000163,219.05250512150602,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,trajectory_curvature_mean_rad_per_mm,matched_rollout_seed,5,5,0.4949297395448019,0.06094774365638904,0.4949297395448019,0.06094774365638904,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.0,walking_speed_max_mm_s,matched_rollout_seed,5,5,32.55131800969709,6.5015645825924935,32.55131800969709,6.5015645825924935,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.25,mean_planar_speed_mm_s,matched_rollout_seed,5,5,1.6999509264454828,0.09949412423034588,1.7086754865043368,0.09299155462504383,0.008724560058853914,0.018556079979452744,0.008298531245995847,0.005363060220806006,0.4701725832457432,PASS,PASS
parkin_class_level_exploratory,0.25,distance_traveled_mm,matched_rollout_seed,5,5,1.5260506214081766,0.131488608252267,1.5320377405162546,0.13829621645529167,0.00598711910807781,0.012460367534342931,0.005572445766284448,0.003659404013796773,0.48049297836330046,PASS,PASS
parkin_class_level_exploratory,0.25,displacement_mm,matched_rollout_seed,5,5,0.8499754632227414,0.04974706211517294,0.8543377432521684,0.04649577731252191,0.004362280029426957,0.009278039989726372,0.004149265622997923,0.005363060220806006,0.4701725832457432,PASS,PASS
parkin_class_level_exploratory,0.25,walking_speed_mm_s,matched_rollout_seed,5,5,3.051490944627628,0.2629246315782365,3.0634627884750154,0.2765371254855062,0.011971843847387387,0.02491575191830483,0.011142662999970077,0.0036594040137969052,0.48049297836329974,PASS,PASS
parkin_class_level_exploratory,0.25,com_velocity_mean_mm_s,matched_rollout_seed,5,5,3.78573440365305,0.19772842970616583,3.80026094962201,0.2226972050650343,0.014526545968960391,0.03001868352357869,0.013424763390754973,0.003588562331315056,0.4839168232527674,PASS,PASS
parkin_class_level_exploratory,0.25,heading_variance_rad2,matched_rollout_seed,5,5,0.00038924955476705026,0.00022470115829576156,0.0003975639160923264,0.00022624658980779187,8.314361325276067e-06,2.256402825241549e-05,1.0090940203725362e-05,0.02055375739854883,0.3684785904478741,PASS,PASS
parkin_class_level_exploratory,0.25,body_orientation_variance_rad2,matched_rollout_seed,5,5,0.0003444478965495001,7.356676286862539e-05,0.0003476404506627628,7.595133269325281e-05,3.1925541132626586e-06,7.838202890041599e-06,3.5053508967136648e-06,0.008367381695686574,0.4073068990493706,PASS,PASS
parkin_class_level_exploratory,0.25,stride_frequency_hz,matched_rollout_seed,5,5,350.0000000000271,36.50875085358435,351.0666666666939,36.86115088334403,1.066666666666754,2.5755258362777647,1.151810169544815,0.002978714217866259,0.41415490834614804,PASS,PASS
parkin_class_level_exploratory,0.25,step_frequency_hz,matched_rollout_seed,5,5,2100.000000000163,219.05250512150602,2106.4000000001633,221.16690530006423,6.4000000000005,15.453155017666736,6.910861017268957,0.0029787142178662415,0.41415490834614255,PASS,PASS
parkin_class_level_exploratory,0.25,trajectory_curvature_mean_rad_per_mm,matched_rollout_seed,5,5,0.4949297395448019,0.06094774365638904,0.4965868748598699,0.06381612180336492,0.0016571353150680924,0.0031116656760609438,0.001391579194985022,0.0028696808731665246,0.5325557073232428,PASS,PASS
parkin_class_level_exploratory,0.25,walking_speed_max_mm_s,matched_rollout_seed,5,5,32.55131800969709,6.5015645825924935,32.55131800969709,6.5015645825924935,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.5,mean_planar_speed_mm_s,matched_rollout_seed,5,5,1.6999509264454828,0.09949412423034588,1.6959416723985108,0.09215208183266597,-0.004009254046972055,0.008390118899100036,0.0037521752395386757,-0.0021661121377986006,-0.477854258704499,PASS,PASS
parkin_class_level_exploratory,0.5,distance_traveled_mm,matched_rollout_seed,5,5,1.5260506214081766,0.131488608252267,1.5251346837782527,0.1301826141373568,-0.0009159376299240129,0.0054364174962901485,0.0024312398151547965,-0.0005410837027227367,-0.16848184131352228,PASS,PASS
parkin_class_level_exploratory,0.5,displacement_mm,matched_rollout_seed,5,5,0.8499754632227414,0.04974706211517294,0.8479708361992554,0.04607604091633299,-0.0020046270234860275,0.004195059449550018,0.0018760876197693379,-0.0021661121377986006,-0.477854258704499,PASS,PASS
parkin_class_level_exploratory,0.5,walking_speed_mm_s,matched_rollout_seed,5,5,3.051490944627628,0.2629246315782365,3.0496594356695708,0.2603131656416033,-0.0018315089580566379,0.010870660860409487,0.004861507328844393,-0.000541083702722771,-0.16848184131352312,PASS,PASS
parkin_class_level_exploratory,0.5,com_velocity_mean_mm_s,matched_rollout_seed,5,5,3.78573440365305,0.19772842970616583,3.783914471256613,0.20389433112096686,-0.0018199323964365633,0.015252029729431835,0.006820915053971461,-0.0005390828840725024,-0.11932394761365044,PASS,PASS
parkin_class_level_exploratory,0.5,heading_variance_rad2,matched_rollout_seed,5,5,0.00038924955476705026,0.00022470115829576156,0.00039508697410395094,0.00022161701714000167,5.837419336900666e-06,1.9844000418949714e-05,8.874506776461173e-06,0.017254711535478022,0.29416545120238535,PASS,PASS
