paper_id,gene_model,title,authors,year,journal,doi,pmid,pmcid,assay,source_url,source_status,target_status
riemensperger_2011_dopamine_deficiency,dopamine_deficiency,Behavioral consequences of dopamine deficiency in the Drosophila central nervous system,Riemensperger et al.,2011,Proceedings of the National Academy of Sciences,10.1073/pnas.1010930108,21187381,PMC3021077,Spontaneous walking in an open arena,https://pubmed.ncbi.nlm.nih.gov/21187381/,PRIMARY_SOURCE_VERIFIED,PENDING_SECOND_REVIEW
pokrzywa_2017_alpha_syn_flytracker,human_alpha_synuclein,Effects of small-molecule amyloid modulators on a Drosophila model of Parkinson's disease,Pokrzywa et al.,2017,PLOS ONE,10.1371/journal.pone.0184117,28863169,PMC5581160,FlyTracker locomotion tracking in vials,https://pmc.ncbi.nlm.nih.gov/articles/PMC5581160/,PRIMARY_SOURCE_VERIFIED,PENDING_SECOND_REVIEW
dumitrescu_2023_parkin_rnai,parkin,Parkin Knockdown Modulates Dopamine Release in the Central Complex but Not the Mushroom Body Heel of Aging Drosophila,Dumitrescu et al.,2023,ACS Chemical Neuroscience,10.1021/acschemneuro.2c00277,36576890,PMC9897283,Drosophila Activity Monitor infrared beam-break counts,https://pmc.ncbi.nlm.nih.gov/articles/PMC9897283/,PRIMARY_SOURCE_VERIFIED,NOT_DIRECTLY_COMPARABLE_TO_SPEED
pozo_2022_pink1_serotonin,pink1,An Early Disturbance in Serotonergic Neurotransmission Contributes to the Onset of Parkinsonian Phenotypes in Drosophila melanogaster,Pozo et al.,2022,Cells,10.3390/cells11091544,35563850,PMC9105628,Open-field distance and activity time,https://pmc.ncbi.nlm.nih.gov/articles/PMC9105628/,PRIMARY_SOURCE_VERIFIED,PENDING_STATISTIC_AND_ASSAY_TRANSFER
hwang_2013_dj1_dlp,dj1,Drosophila DJ-1 Decreases Neural Sensitivity to Stress by Negatively Regulating Daxx-Like Protein through dFOXO,Hwang et al.,2013,PLOS Genetics,10.1371/journal.pgen.1003412,23593018,PMC3616925,Climbing assay,https://pmc.ncbi.nlm.nih.gov/articles/PMC3616925/,PRIMARY_SOURCE_VERIFIED,WAITING_MANUAL_FIGURE_REVIEW
godena_2014_lrrk2_microtubule,lrrk2,Increasing microtubule acetylation rescues axonal transport and locomotor deficits caused by LRRK2 Roc-COR domain mutations,Godena et al.,2014,Nature Communications,10.1038/ncomms6245,25316291,PMC4208097,Climbing assay,https://pmc.ncbi.nlm.nih.gov/articles/PMC4208097/,PRIMARY_SOURCE_VERIFIED,WAITING_MANUAL_FIGURE_REVIEW
