seed,healthy_control__median_planar_speed_mm_s,healthy_control__distance_traveled_mm,healthy_control__displacement_mm,healthy_control__brain_body_drive_mean_l2,healthy_control__dn_spike_rate_hz_per_dn,healthy_control__decoder_mean_rate_hz,healthy_control__contact_fraction,healthy_control__joint_velocity_rms,healthy_control__action_trajectory_rms_delta,dopamine_class_level_burden_zero__median_planar_speed_mm_s,dopamine_class_level_burden_zero__distance_traveled_mm,dopamine_class_level_burden_zero__displacement_mm,dopamine_class_level_burden_zero__brain_body_drive_mean_l2,dopamine_class_level_burden_zero__dn_spike_rate_hz_per_dn,dopamine_class_level_burden_zero__decoder_mean_rate_hz,dopamine_class_level_burden_zero__contact_fraction,dopamine_class_level_burden_zero__joint_velocity_rms,dopamine_class_level_burden_zero__action_trajectory_rms_delta,dopamine_class_level_full_burden__median_planar_speed_mm_s,dopamine_class_level_full_burden__distance_traveled_mm,dopamine_class_level_full_burden__displacement_mm,dopamine_class_level_full_burden__brain_body_drive_mean_l2,dopamine_class_level_full_burden__dn_spike_rate_hz_per_dn,dopamine_class_level_full_burden__decoder_mean_rate_hz,dopamine_class_level_full_burden__contact_fraction,dopamine_class_level_full_burden__joint_velocity_rms,dopamine_class_level_full_burden__action_trajectory_rms_delta,full_minus_healthy__median_planar_speed_mm_s,zero_minus_healthy__median_planar_speed_mm_s,full_minus_healthy__distance_traveled_mm,zero_minus_healthy__distance_traveled_mm,full_minus_healthy__displacement_mm,zero_minus_healthy__displacement_mm,full_minus_healthy__brain_body_drive_mean_l2,zero_minus_healthy__brain_body_drive_mean_l2,full_minus_healthy__dn_spike_rate_hz_per_dn,zero_minus_healthy__dn_spike_rate_hz_per_dn,full_minus_healthy__decoder_mean_rate_hz,zero_minus_healthy__decoder_mean_rate_hz,full_minus_healthy__contact_fraction,zero_minus_healthy__contact_fraction,full_minus_healthy__joint_velocity_rms,zero_minus_healthy__joint_velocity_rms,full_minus_healthy__action_trajectory_rms_delta,zero_minus_healthy__action_trajectory_rms_delta
0,2.223834600619149,1.407676499241302,0.7954298420934233,0.22355868776396645,8.11111111111111,7.811061144617882,1.0,9.839780219484435,0.0003004692912153762,2.223834600619149,1.407676499241302,0.7954298420934233,0.22355868776396645,8.11111111111111,7.811061144617882,1.0,9.839780219484435,0.0003004692912153762,2.223834600619149,1.407676499241302,0.7954298420934233,0.22355868776396645,8.11111111111111,7.811061144617882,1.0,9.839780219484435,0.0003004692912153762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.271621476378678,1.3758130625006904,0.8804729390914373,0.24152250833322186,8.333333333333334,8.247484839657739,0.9944,9.937367168619716,0.00033439942404589425,2.271621476378678,1.3758130625006904,0.8804729390914373,0.24152250833322186,8.333333333333334,8.247484839657739,0.9944,9.937367168619716,0.00033439942404589425,2.271621476378678,1.3758130625006904,0.8804729390914373,0.24152250833322186,8.333333333333334,8.247484839657739,0.9944,9.937367168619716,0.00033439942404589425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.6389774969679616,1.6524886881762586,0.8143715245712978,0.23707599702522794,8.222222222222221,8.219256859280225,1.0,9.915039785728121,0.00033438690058951105,2.6389774969679616,1.6524886881762586,0.8143715245712978,0.23707599702522794,8.222222222222221,8.219256859280225,1.0,9.915039785728121,0.00033438690058951105,2.6389774969679616,1.6524886881762586,0.8143715245712978,0.23707599702522794,8.222222222222221,8.219256859280225,1.0,9.915039785728121,0.00033438690058951105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.6109203935790717,1.6540584548376787,0.9181872703306954,0.2565336649357133,9.333333333333334,8.840522685435886,1.0,9.934135241630912,0.0003415965713865132,2.6109203935790717,1.6540584548376787,0.9181872703306954,0.2565336649357133,9.333333333333334,8.840522685435886,1.0,9.934135241630912,0.0003415965713865132,2.6109203935790717,1.6540584548376787,0.9181872703306954,0.2565336649357133,9.333333333333334,8.840522685435886,1.0,9.934135241630912,0.0003415965713865132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5853208610209686,1.5402164022849538,0.8414157400268537,0.2228151090172045,7.777777777777778,7.518168457882567,0.999,9.85196857195754,0.00031078844241414356,2.5853208610209686,1.5402164022849538,0.8414157400268537,0.2228151090172045,7.777777777777778,7.518168457882567,0.999,9.85196857195754,0.00031078844241414356,2.5853208610209686,1.5402164022849538,0.8414157400268537,0.2228151090172045,7.777777777777778,7.518168457882567,0.999,9.85196857195754,0.00031078844241414356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
