seed,healthy_control_median_planar_speed_mm_s,dopamine_class_level_full_burden_median_planar_speed_mm_s,full_minus_healthy_median_planar_speed_mm_s,healthy_control_brain_body_drive_mean_l2,dopamine_class_level_full_burden_brain_body_drive_mean_l2,full_minus_healthy_brain_body_drive_mean_l2
0,2.223834600619149,2.223834600619149,0.0,0.22355868776396645,0.22355868776396645,0.0
1,2.271621476378678,2.271621476378678,0.0,0.24152250833322186,0.24152250833322186,0.0
2,2.6389774969679616,2.6389774969679616,0.0,0.23707599702522794,0.23707599702522794,0.0
3,2.6109203935790717,2.6109203935790717,0.0,0.2565336649357133,0.2565336649357133,0.0
4,2.5853208610209686,2.5853208610209686,0.0,0.2228151090172045,0.2228151090172045,0.0
