action_trajectory_valid,body_orientation_variance_rad2,com_velocity_mean_mm_s,contact_detected,heading_variance_rad2,invalid_arrays,joint_trajectory_changes,locomotion_detected,metrics_path,missing_files,no_nan_inf,observation_state_valid,output,quality_status,quaternion_valid,required_metric_status,required_metrics_present,return_code,seed,status,step_frequency_hz,stride_frequency_hz,thorax_displacement_xy_mm,timestamp_monotonic,timestep_consistent,total_distance_mm,trajectory_curvature_mean_rad_per_mm,walking_speed_max_mm_s,walking_speed_mm_s
PASS,0.0003564158961040227,3.7172994104952006,PASS,0.0002880299994188683,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_000/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_000,PASS,PASS,INCOMPLETE,,0,0,PASS,1748.0000000001355,291.3333333333559,0.7954298420934233,PASS,PASS,1.407676499241302,0.5083229284982356,32.2898516276488,2.8147900404746955
PASS,0.00033361983574758887,3.84629076916715,PASS,0.0007628136462973803,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_001/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_001,PASS,PASS,INCOMPLETE,,0,1,PASS,2312.000000000179,385.3333333333632,0.8804729390914373,PASS,PASS,1.3758130625006904,0.48490001911039493,21.376162684017224,2.751075909819597
PASS,0.00037966757644649604,4.072071523800472,PASS,0.00038286270430310063,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_002/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_002,PASS,PASS,INCOMPLETE,,0,2,PASS,2120.000000000164,353.3333333333607,0.8143715245712978,PASS,PASS,1.6524886881762586,0.5901369815650889,35.97751396720416,3.3043165130501264
PASS,0.000424975629225265,3.7632895603954575,PASS,0.00034781134806732107,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_003/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_003,PASS,PASS,INCOMPLETE,,0,3,PASS,2248.000000000174,374.6666666666957,0.9181872703306954,PASS,PASS,1.6540584548376787,0.46375550797941567,36.94808405829204,3.30745541859186
PASS,0.00022756054522412794,3.5297207544069686,PASS,0.00016473007574858118,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_004/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_004,PASS,PASS,INCOMPLETE,,0,4,PASS,2072.0000000001605,345.3333333333601,0.8414157400268537,PASS,PASS,1.5402164022849538,0.42753326057087415,36.16497771132325,3.07981684120186
PASS,0.00032366582483614524,3.9090756913778493,PASS,0.00035190429964844803,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_005/metrics/metrics.json,,PASS,PASS,experiments/gate_11_healthy_baseline/results/seed_005,PASS,PASS,INCOMPLETE,,0,5,PASS,2374.000000000184,395.66666666669727,1.0839174583811741,PASS,PASS,1.5359933349325787,0.4179509410233365,38.39104193078577,3.071372395386294
