action_trajectory_valid,analysis_version,body_orientation_variance_rad2,burden_label,burden_level,com_velocity_mean_mm_s,condition_id,contact_detected,displacement_mm,distance_traveled_mm,duration_s,frame_count,gene_specific_mapping,heading_variance_rad2,joint_trajectory_changes,locomotion_detected,mapping_scope,mean_planar_speed_mm_s,metrics_path,missing_files,no_nan_inf,observation_state_valid,output,quality_status,quaternion_valid,raw_artifact_manifest,raw_artifacts_retained,required_metric_status,return_code,seed,status,step_frequency_hz,stride_frequency_hz,thorax_displacement_xy_mm,timestamp_monotonic,timestep_consistent,timestep_s,total_distance_mm,trajectory_curvature_mean_rad_per_mm,video_present,video_requested,walking_speed_max_mm_s,walking_speed_mm_s
PASS,1.0,0.00035637962584464275,medium,0.5,3.7216889054610176,parkin,PASS,0.7969127083825357,1.4095995389779223,0.49999999999996125,5001.0,False,0.0002852345289998406,PASS,PASS,class_level_exploratory,1.5938254167650714,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_000/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_000,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_000/raw_artifact_manifest.json,False,PASS,0,0,PASS,1748.0000000001355,291.33333333335594,0.7969127083825357,PASS,PASS,9.999999999998899e-05,1.4095995389779223,0.5069023689497605,False,False,32.2898516276488,2.818635350885854
PASS,1.0,0.0003307315069258253,medium,0.5,3.8438543476598728,parkin,PASS,0.8788057854749702,1.374636449646613,0.49999999999996125,5001.0,False,0.0007533534688755154,PASS,PASS,class_level_exploratory,1.7576115709499405,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_001/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_001,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_001/raw_artifact_manifest.json,False,PASS,0,1,PASS,2308.0000000001787,384.66666666669647,0.8788057854749702,PASS,PASS,9.999999999998899e-05,1.374636449646613,0.49338158830682133,False,False,21.376162684017224,2.7487231546624735
PASS,1.0,0.00039483696214096756,medium,0.5,4.087273006678255,parkin,PASS,0.813741540161664,1.6569897575108374,0.49999999999996125,5001.0,False,0.0004234512066788206,PASS,PASS,class_level_exploratory,1.627483080323328,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_002/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_002,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_002/raw_artifact_manifest.json,False,PASS,0,2,PASS,2136.0000000001655,356.00000000002757,0.813741540161664,PASS,PASS,9.999999999998899e-05,1.6569897575108374,0.6007708271506829,False,False,35.97751396720416,3.313316851651565
PASS,1.0,0.0004237327074885832,medium,0.5,3.7370070811188265,parkin,PASS,0.9089616923373912,1.6442060192469512,0.49999999999996125,5001.0,False,0.0003486932940740986,PASS,PASS,class_level_exploratory,1.8179233846747824,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_003/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_003,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_003/raw_artifact_manifest.json,False,PASS,0,3,PASS,2228.000000000173,371.33333333336213,0.9089616923373912,PASS,PASS,9.999999999998899e-05,1.6442060192469512,0.46630025000635683,False,False,36.94808405829204,3.287754487596602
PASS,1.0,0.00022755671737426683,medium,0.5,3.529749015365094,parkin,PASS,0.8414324546397162,1.5402416535089394,0.49999999999996125,5001.0,False,0.00016470237189147966,PASS,PASS,class_level_exploratory,1.6828649092794323,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_004/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_004,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.50/seed_004/raw_artifact_manifest.json,False,PASS,0,4,PASS,2072.0000000001605,345.3333333333601,0.8414324546397162,PASS,PASS,9.999999999998899e-05,1.5402416535089394,0.4275283419902354,False,False,36.16497771132325,3.079867333551361
PASS,1.0,0.0003621064079590444,high,0.75,3.757557355028584,parkin,PASS,0.8127045450252096,1.4283312478921255,0.49999999999996125,5001.0,False,0.0002952959129263127,PASS,PASS,class_level_exploratory,1.6254090900504192,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_000/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_000,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_000/raw_artifact_manifest.json,False,PASS,0,0,PASS,1774.0000000001376,295.6666666666896,0.8127045450252096,PASS,PASS,9.999999999998899e-05,1.4283312478921255,0.5122131267813709,False,False,32.2898516276488,2.8560912775289364
PASS,1.0,0.00033073397940263874,high,0.75,3.843853880259269,parkin,PASS,0.8788060333920085,1.374638260211662,0.49999999999996125,5001.0,False,0.000753361274188235,PASS,PASS,class_level_exploratory,1.757612066784017,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_001/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_001,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_001/raw_artifact_manifest.json,False,PASS,0,1,PASS,2308.0000000001787,384.66666666669647,0.8788060333920085,PASS,PASS,9.999999999998899e-05,1.374638260211662,0.4933597548211511,False,False,21.376162684017224,2.7487267750684903
PASS,1.0,0.00039409393020048005,high,0.75,4.086871323575053,parkin,PASS,0.8135647499321457,1.6553454070736744,0.49999999999996125,5001.0,False,0.00041980701933037477,PASS,PASS,class_level_exploratory,1.6271294998642913,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_002/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_002,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_002/raw_artifact_manifest.json,False,PASS,0,2,PASS,2134.0000000001655,355.6666666666942,0.8135647499321457,PASS,PASS,9.999999999998899e-05,1.6553454070736744,0.602945520285761,False,False,35.97751396720416,3.3100288083858924
PASS,1.0,0.0004237327074885832,high,0.75,3.7370070811188265,parkin,PASS,0.9089616923373912,1.6442060192469512,0.49999999999996125,5001.0,False,0.0003486932940740986,PASS,PASS,class_level_exploratory,1.8179233846747824,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_003/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_003,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_003/raw_artifact_manifest.json,False,PASS,0,3,PASS,2228.000000000173,371.33333333336213,0.9089616923373912,PASS,PASS,9.999999999998899e-05,1.6442060192469512,0.46630025000635683,False,False,36.94808405829204,3.287754487596602
PASS,1.0,0.00022755671737426683,high,0.75,3.529749015365094,parkin,PASS,0.8414324546397162,1.5402416535089394,0.49999999999996125,5001.0,False,0.00016470237189147966,PASS,PASS,class_level_exploratory,1.6828649092794323,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_004/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_004,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_0.75/seed_004/raw_artifact_manifest.json,False,PASS,0,4,PASS,2072.0000000001605,345.3333333333601,0.8414324546397162,PASS,PASS,9.999999999998899e-05,1.5402416535089394,0.4275283419902354,False,False,36.16497771132325,3.079867333551361
PASS,1.0,0.0003563968035121345,full,1.0,3.721774015362687,parkin,PASS,0.7968623549914512,1.4095897756674518,0.49999999999996125,5001.0,False,0.0002853081364767755,PASS,PASS,class_level_exploratory,1.5937247099829024,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_000/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_000,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_000/raw_artifact_manifest.json,False,PASS,0,0,PASS,1748.0000000001355,291.33333333335594,0.7968623549914512,PASS,PASS,9.999999999998899e-05,1.4095897756674518,0.5068430837531215,True,True,32.2898516276488,2.8186158281694564
PASS,1.0,0.00033073397940263874,full,1.0,3.843853880259269,parkin,PASS,0.8788060333920085,1.374638260211662,0.49999999999996125,5001.0,False,0.000753361274188235,PASS,PASS,class_level_exploratory,1.757612066784017,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_001/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_001,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_001/raw_artifact_manifest.json,False,PASS,0,1,PASS,2308.0000000001787,384.66666666669647,0.8788060333920085,PASS,PASS,9.999999999998899e-05,1.374638260211662,0.4933597548211511,False,False,21.376162684017224,2.7487267750684903
PASS,1.0,0.00039409393020048005,full,1.0,4.086871323575053,parkin,PASS,0.8135647499321457,1.6553454070736744,0.49999999999996125,5001.0,False,0.00041980701933037477,PASS,PASS,class_level_exploratory,1.6271294998642913,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_002/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_002,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_002/raw_artifact_manifest.json,False,PASS,0,2,PASS,2134.0000000001655,355.6666666666942,0.8135647499321457,PASS,PASS,9.999999999998899e-05,1.6553454070736744,0.602945520285761,False,False,35.97751396720416,3.3100288083858924
PASS,1.0,0.0004237327074885832,full,1.0,3.7370070811188265,parkin,PASS,0.9089616923373912,1.6442060192469512,0.49999999999996125,5001.0,False,0.0003486932940740986,PASS,PASS,class_level_exploratory,1.8179233846747824,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_003/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_003,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_003/raw_artifact_manifest.json,False,PASS,0,3,PASS,2228.000000000173,371.33333333336213,0.9089616923373912,PASS,PASS,9.999999999998899e-05,1.6442060192469512,0.46630025000635683,False,False,36.94808405829204,3.287754487596602
PASS,1.0,0.00022755671737426683,full,1.0,3.529749015365094,parkin,PASS,0.8414324546397162,1.5402416535089394,0.49999999999996125,5001.0,False,0.00016470237189147966,PASS,PASS,class_level_exploratory,1.6828649092794323,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_004/metrics/metrics.json,,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_004,PASS,PASS,experiments/gate_21_parkin_class_level_rollout/results/burden_1.00/seed_004/raw_artifact_manifest.json,False,PASS,0,4,PASS,2072.0000000001605,345.3333333333601,0.8414324546397162,PASS,PASS,9.999999999998899e-05,1.5402416535089394,0.4275283419902354,False,False,36.16497771132325,3.079867333551361
