seed,status,message,burden,median_planar_speed_mm_s,distance_traveled_mm,displacement_mm,duration_s,frame_count,contact_detected,finite_qc,timestamp_monotonic,joint_trajectory_max_delta,action_trajectory_max_delta,rollout_path,mean_framewise_planar_speed_mm_s
0,PASS,reused completed rollout for post-processing only,1.0,2.223834600619149,1.407676499241302,0.7954298420934233,0.49999999999996125,5001,True,True,True,0.06424271413574759,42.40996710026995,experiments/gate_21e_riemensperger_disease/results/seed_000/rollout.npz,2.81535299848279
1,PASS,reused completed rollout for post-processing only,1.0,2.271621476378678,1.3758130625006904,0.8804729390914373,0.49999999999996125,5001,True,True,True,0.06424316175748501,42.40996710026995,experiments/gate_21e_riemensperger_disease/results/seed_001/rollout.npz,2.751626125001561
2,PASS,reused completed rollout for post-processing only,1.0,2.6389774969679616,1.6524886881762586,0.8143715245712978,0.49999999999996125,5001,True,True,True,0.06424280446577096,42.40996710026995,experiments/gate_21e_riemensperger_disease/results/seed_002/rollout.npz,3.3049773763527366
3,PASS,reused completed rollout for post-processing only,1.0,2.6109203935790717,1.6540584548376787,0.9181872703306954,0.49999999999996125,5001,True,True,True,0.06424393494741076,42.40996710026995,experiments/gate_21e_riemensperger_disease/results/seed_003/rollout.npz,3.308116909675579
4,PASS,reused completed rollout for post-processing only,1.0,2.5853208610209686,1.5402164022849538,0.8414157400268537,0.49999999999996125,5001,True,True,True,0.06424299698609989,42.40996710026995,experiments/gate_21e_riemensperger_disease/results/seed_004/rollout.npz,3.0804328045701
