paper_id,gene_model,genotype,age_days,sex,assay,metric,value,unit,variance_type,variance,sample_size,figure_table,doi_pmid,review_status,notes
chen_2014_adult_walking,human_alpha_synuclein,A30P,30,male,adult horizontal walking,mean_planar_speed_mm_s,4.875,mm/s,CI95,0.525,20,Figure 4f,10.1111/gbb.12172; PMID:25113870; PMCID:PMC4262005,pending,"reviewer=CHUA_DIEN;review_date=CHUA_DIEN;allocation=calibration;assay_transfer=pending;sample_unit=fly;statistic=mean;provenance=research/paper_review/digitized/chen_2014_adult_walking_speed.csv;original_value_cm_s=0.4875;converted_value_mm_s=4.875;original_uncertainty_cm_s=0.0525;converted_uncertainty_mm_s=0.525;conversion=1_cm_s_10_mm_s;uncertainty_type=CI95;not_speed_target=false"
pozo_2022_pink1_serotonin,pink1,Pink1B9,28,not_reported,Open-field locomotor tracking,distance_traveled_mm,62.091,mm,IQR_with_min_max_ranges_reported,61.288,21,Figure 3B,10.3390/cells11091544; PMID:35563850,pending,"reviewer=CHUA_DIEN;review_date=CHUA_DIEN;allocation=holdout;assay_transfer=pending;sample_unit=fly;statistic=paper_reported_center;spread_policy=kept_as_reported_IQR_minmax;provenance=research/paper_review/pozo_distance_holdout_signoff.md;not_speed_target=true"
